Genre_04_nouns.csv
Unique nouns: 751, Total nouns: 1792
Total time: Uncomputed,Cost per noun: Uncomputed
attack,"['(ex: NetHack )\n\nSouls-like RPG : A game that emphasizes dodging attacks during combat, with tough mooks, even harder bosses and very few checkpoints.']",1
mook,"['(ex: NetHack )\n\nSouls-like RPG : A game that emphasizes dodging attacks during combat, with tough mooks, even harder bosses and very few checkpoints.']",1
checkpoint,"['(ex: NetHack )\n\nSouls-like RPG : A game that emphasizes dodging attacks during combat, with tough mooks, even harder bosses and very few checkpoints.']",1
fromsoftware,"[""Named and inspired after FromSoftware 's usual output starting from Demon's Souls and then beyond, particularly Dark Souls .""]",1
output,"[""Named and inspired after FromSoftware 's usual output starting from Demon's Souls and then beyond, particularly Dark Souls .""]",1
demon,"[""Named and inspired after FromSoftware 's usual output starting from Demon's Souls and then beyond, particularly Dark Souls .""]",1
souls,"[""Named and inspired after FromSoftware 's usual output starting from Demon's Souls and then beyond, particularly Dark Souls .""]",2
dark,"[""Named and inspired after FromSoftware 's usual output starting from Demon's Souls and then beyond, particularly Dark Souls .""]",1
bloodborne,"['(ex: Nioh , Bloodborne )\n\nStrategy RPG (SRPG): A game that is a Role Playing Game, but it plays like a Turn-Based Strategy or Real-Time Strategy.']",1
strategy,"['(ex: Nioh , Bloodborne )\n\nStrategy RPG (SRPG): A game that is a Role Playing Game, but it plays like a Turn-Based Strategy or Real-Time Strategy.', '(ex: WWE Video Games )\n\nStrategy Game :', 'Sub-genre of a Strategy Game.', '(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.', '(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.', 'Real-Time Strategy (RTS): A game that focuses on construction and control of a fighting force in battle that takes place in real-time.', '(ex: Plants vs. Zombies )\n\nTurn-Based Strategy (TBS): A game that is about abstract mechanics of efficiently waging war, exploiting resources and controlling huge groups of combatants all at once.', ""Turn-Based Combat : A game that isn't an all-out turn-based strategy/tactics but switches to turns whenever combat starts."", '\n\nTurn-Based Strategy, Real Time Combat : A TBS game where the combat sections take place in Real Time , meaning no Turn-Based Combat .']",11
srpg,"['(ex: Nioh , Bloodborne )\n\nStrategy RPG (SRPG): A game that is a Role Playing Game, but it plays like a Turn-Based Strategy or Real-Time Strategy.']",1
turn,"['(ex: Nioh , Bloodborne )\n\nStrategy RPG (SRPG): A game that is a Role Playing Game, but it plays like a Turn-Based Strategy or Real-Time Strategy.', ""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference."", '(ex: Plants vs. Zombies )\n\nTurn-Based Strategy (TBS): A game that is about abstract mechanics of efficiently waging war, exploiting resources and controlling huge groups of combatants all at once.', '(ex: Total War )\n\nTurn-Based Tactics : A game in which the player must control individual soldiers or vehicles.', '\n\nTurn-Based: When the player and the computer take turns in making moves.', ""Turn-Based Combat : A game that isn't an all-out turn-based strategy/tactics but switches to turns whenever combat starts."", '\n\nTurn-Based Strategy, Real Time Combat : A TBS game where the combat sections take place in Real Time , meaning no Turn-Based Combat .']",10
real,"['(ex: Nioh , Bloodborne )\n\nStrategy RPG (SRPG): A game that is a Role Playing Game, but it plays like a Turn-Based Strategy or Real-Time Strategy.', '(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.', '\n\nTurn-Based Strategy, Real Time Combat : A TBS game where the combat sections take place in Real Time , meaning no Turn-Based Combat .']",4
emblem,['(ex: Fire Emblem ).'],1
protagonist,['\n\nWestern RPG : A North American or European game that features a customizable featureless protagonist.'],1
mass,"['(ex: Mass Effect , The Elder Scrolls )\n\nEastern RPG : A usually Japanese game that tends to have a linear plot and a party of predefined characters written into said plot.']",1
effect,"['(ex: Mass Effect , The Elder Scrolls )\n\nEastern RPG : A usually Japanese game that tends to have a linear plot and a party of predefined characters written into said plot.', 'Retraux Games : Games using intentionally outdated graphics for a nostalgic effect.']",2
elder,"['(ex: Mass Effect , The Elder Scrolls )\n\nEastern RPG : A usually Japanese game that tends to have a linear plot and a party of predefined characters written into said plot.']",1
scrolls,"['(ex: Mass Effect , The Elder Scrolls )\n\nEastern RPG : A usually Japanese game that tends to have a linear plot and a party of predefined characters written into said plot.']",1
plot,"['(ex: Mass Effect , The Elder Scrolls )\n\nEastern RPG : A usually Japanese game that tends to have a linear plot and a party of predefined characters written into said plot.', 'A game that deconstructs a common gameplay element or plot device.']",3
romance,"['(ex: Final Fantasy , Dragon Quest )\n\nRomance Game : A game in which the primary goal is to establish a romantic relationship between the Player Character and one or more of the NPCs.', 'Essentially, Romance Game meets Simulation Game .']",2
relationship,"['(ex: Final Fantasy , Dragon Quest )\n\nRomance Game : A game in which the primary goal is to establish a romantic relationship between the Player Character and one or more of the NPCs.', ""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",2
npc,"['(ex: Final Fantasy , Dragon Quest )\n\nRomance Game : A game in which the primary goal is to establish a romantic relationship between the Player Character and one or more of the NPCs.']",1
sim,"[""\n\nDating Sim : A game in which the player courts at least one potential lover, and the player must keep track of every character's feelings about them and giving out presents, which will feel like a Role Playing Game."", '(ex: Tokimeki Memorial )\n\nSimulation Game (Sim): A game that simulates parts of a reality, fictional or real.', 'Breeding Sim : This type of game focuses on breeding creatures to get specific traits.', 'Immersive Sim : A game that simulates a consistent lived-in world, facilitates Emergent Gameplay , and rewards creative problem solving.', ""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",6
lover,"[""\n\nDating Sim : A game in which the player courts at least one potential lover, and the player must keep track of every character's feelings about them and giving out presents, which will feel like a Role Playing Game.""]",1
track,"[""\n\nDating Sim : A game in which the player courts at least one potential lover, and the player must keep track of every character's feelings about them and giving out presents, which will feel like a Role Playing Game.""]",1
feeling,"[""\n\nDating Sim : A game in which the player courts at least one potential lover, and the player must keep track of every character's feelings about them and giving out presents, which will feel like a Role Playing Game.""]",1
present,"[""\n\nDating Sim : A game in which the player courts at least one potential lover, and the player must keep track of every character's feelings about them and giving out presents, which will feel like a Role Playing Game."", 'Minigame : A separate game present inside the main game.']",2
simulation,"['Essentially, Romance Game meets Simulation Game .', '(ex: Tokimeki Memorial )\n\nSimulation Game (Sim): A game that simulates parts of a reality, fictional or real.', '(ex: Deus Ex )\n\nLife Simulation Game : A game in which the player plays as, or at least has control over the lives, of living beings and goes through their life.', ""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",4
tokimeki,"['(ex: Tokimeki Memorial )\n\nSimulation Game (Sim): A game that simulates parts of a reality, fictional or real.']",1
memorial,"['(ex: Tokimeki Memorial )\n\nSimulation Game (Sim): A game that simulates parts of a reality, fictional or real.']",1
reality,"['(ex: Tokimeki Memorial )\n\nSimulation Game (Sim): A game that simulates parts of a reality, fictional or real.', ""\n\nVirtual Reality : A game that makes use of a headset display to make the player feel as though they are physically present in the game's setting.""]",2
simcity,"['(ex: SimCity , Football Manager )']",1
football,"['(ex: SimCity , Football Manager )']",1
manager,"['(ex: SimCity , Football Manager )']",1
breeding,['Breeding Sim : This type of game focuses on breeding creatures to get specific traits.'],1
trait,['Breeding Sim : This type of game focuses on breeding creatures to get specific traits.'],1
flight,"['(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.']",1
rising,"['(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.']",1
construction,"['(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.', 'Real-Time Strategy (RTS): A game that focuses on construction and control of a fighting force in battle that takes place in real-time.']",3
gathering,"['(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.']",1
expansion,"['(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.', '\n\nExpansion Pack : Additional content released after the original game that is purchased separately and (usually) requires the original game to run.', 'A sequel with so few changes from its predecessor that it feels more like an Expansion Pack than a ""true"" sequel.\n\nObvious Beta : An unfinished game (often egregiously so) marketed as a finished one, for whatever reason.']",3
research,"['(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.']",1
rollercoaster,"['(ex: RollerCoaster Tycoon )\n\nDisaster Relief Game : A game where players have to cooperate in order to prevent, survive or rescue people from a disaster event.']",1
tycoon,"['(ex: RollerCoaster Tycoon )\n\nDisaster Relief Game : A game where players have to cooperate in order to prevent, survive or rescue people from a disaster event.']",1
disaster,"['(ex: RollerCoaster Tycoon )\n\nDisaster Relief Game : A game where players have to cooperate in order to prevent, survive or rescue people from a disaster event.', '(ex: Disaster Report )']",3
relief,"['(ex: RollerCoaster Tycoon )\n\nDisaster Relief Game : A game where players have to cooperate in order to prevent, survive or rescue people from a disaster event.']",1
order,"['(ex: RollerCoaster Tycoon )\n\nDisaster Relief Game : A game where players have to cooperate in order to prevent, survive or rescue people from a disaster event.', ""A game in which the player's strategical and/or tactical thinking is required in order to achieve victory.""]",2
rescue,"['(ex: RollerCoaster Tycoon )\n\nDisaster Relief Game : A game where players have to cooperate in order to prevent, survive or rescue people from a disaster event.']",1
people,"['(ex: RollerCoaster Tycoon )\n\nDisaster Relief Game : A game where players have to cooperate in order to prevent, survive or rescue people from a disaster event.']",1
report,['(ex: Disaster Report )'],1
immersive,"['Immersive Sim : A game that simulates a consistent lived-in world, facilitates Emergent Gameplay , and rewards creative problem solving.']",1
consistent,"['Immersive Sim : A game that simulates a consistent lived-in world, facilitates Emergent Gameplay , and rewards creative problem solving.']",1
emergent,"['Immersive Sim : A game that simulates a consistent lived-in world, facilitates Emergent Gameplay , and rewards creative problem solving.']",1
problem,"['Immersive Sim : A game that simulates a consistent lived-in world, facilitates Emergent Gameplay , and rewards creative problem solving.']",1
deus,"['(ex: Deus Ex )\n\nLife Simulation Game : A game in which the player plays as, or at least has control over the lives, of living beings and goes through their life.']",1
being,"['(ex: Deus Ex )\n\nLife Simulation Game : A game in which the player plays as, or at least has control over the lives, of living beings and goes through their life.']",1
sims,"['(ex: The Sims , Animal Crossing )']",1
animal,"['(ex: The Sims , Animal Crossing )']",1
farm,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
farmer,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
farming,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
other,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
seasons,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
rune,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
factory,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
stardew,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
valley,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
schedule,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
process,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference."", 'Some developers have an ""Open Beta"" process, giving access to a pre-release version of the game to the general public (or play testers selected from a public pool) for more extensive testing.', '\n\nPerpetual Beta : A game which undergoes a long process of bug fixes, tweaks, and re-balancing even after its official release.']",3
interference,"[""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference.""]",1
idolmaster,"['(ex: The Idolmaster )\n\nVirtual Pet : A game where the player interacts with a digital pet, with the goal of caring for it like a real one.']",1
pet,"['(ex: The Idolmaster )\n\nVirtual Pet : A game where the player interacts with a digital pet, with the goal of caring for it like a real one.']",2
tamagotchi,"['(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.']",1
organization,"['(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.']",1
business,"['(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.']",1
amount,"['(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.', ""\n\n30-Day Free Trial : Software which you're allowed to use for a fixed, limited amount of time without paying for it.""]",2
money,"['(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.', 'Once that time expires, you must send money to continue using it.', 'Allegedly Free Game : A game that you can play for free, but you will have to pay money to access other game areas or get particular abilities and items.']",3
facility,"['(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.']",1
city,['(ex: City-State )\n\nSports Game : A game that simulates playing a traditional physical sport.'],1
state,['(ex: City-State )\n\nSports Game : A game that simulates playing a traditional physical sport.'],1
sports,['(ex: City-State )\n\nSports Game : A game that simulates playing a traditional physical sport.'],1
fifa,"['(ex: FIFA , Madden NFL )\n\nWrestling Game : A game that simulates Professional Wrestling, with grapples, holds and throws.']",1
madden,"['(ex: FIFA , Madden NFL )\n\nWrestling Game : A game that simulates Professional Wrestling, with grapples, holds and throws.']",1
nfl,"['(ex: FIFA , Madden NFL )\n\nWrestling Game : A game that simulates Professional Wrestling, with grapples, holds and throws.']",1
wrestling,"['(ex: FIFA , Madden NFL )\n\nWrestling Game : A game that simulates Professional Wrestling, with grapples, holds and throws.']",2
professional,"['(ex: FIFA , Madden NFL )\n\nWrestling Game : A game that simulates Professional Wrestling, with grapples, holds and throws.']",1
grapple,"['(ex: FIFA , Madden NFL )\n\nWrestling Game : A game that simulates Professional Wrestling, with grapples, holds and throws.']",1
throw,"['(ex: FIFA , Madden NFL )\n\nWrestling Game : A game that simulates Professional Wrestling, with grapples, holds and throws.']",1
wwe,['(ex: WWE Video Games )\n\nStrategy Game :'],1
thinking,"[""A game in which the player's strategical and/or tactical thinking is required in order to achieve victory.""]",1
victory,"[""A game in which the player's strategical and/or tactical thinking is required in order to achieve victory.""]",1
4x,"['\n\n4X (4X): A game that has four simple goals, which are eXplore, eXpand, eXploit and eXterminate.']",2
explore,"['\n\n4X (4X): A game that has four simple goals, which are eXplore, eXpand, eXploit and eXterminate.']",1
expand,"['\n\n4X (4X): A game that has four simple goals, which are eXplore, eXpand, eXploit and eXterminate.']",1
exploit,"['\n\n4X (4X): A game that has four simple goals, which are eXplore, eXpand, eXploit and eXterminate.']",1
exterminate,"['\n\n4X (4X): A game that has four simple goals, which are eXplore, eXpand, eXploit and eXterminate.']",1
civilization,['(ex: Civilization )\n\nArtillery Game : A game that tasks the player with successfully aiming at an opponent with a ballistics trajectory under various conditions.'],1
artillery,['(ex: Civilization )\n\nArtillery Game : A game that tasks the player with successfully aiming at an opponent with a ballistics trajectory under various conditions.'],1
ballistic,['(ex: Civilization )\n\nArtillery Game : A game that tasks the player with successfully aiming at an opponent with a ballistics trajectory under various conditions.'],1
trajectory,['(ex: Civilization )\n\nArtillery Game : A game that tasks the player with successfully aiming at an opponent with a ballistics trajectory under various conditions.'],1
worm,"['(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.']",1
arena,"['(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.']",1
moba,"['(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.']",1
interface,"['(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.']",1
rts,"['(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.', 'Real-Time Strategy (RTS): A game that focuses on construction and control of a fighting force in battle that takes place in real-time.']",2
unit,"['(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.', '(ex: StarCraft , Pikmin )\n\nTower Defense : A game in which the player defends a building from monsters using other buildings, sometimes with a unit or two as back-up.']",2
complex,"['(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.']",1
league,"['(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.']",1
legends,"['(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.']",1
political,"['(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.']",1
conflict,"['(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.', '\n\nMilitary and Warfare Video Games : A game that revolves around soldiers or warriors fighting in a military conflict.']",2
influence,"['(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.']",1
policy,"['(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.']",1
ideology,"['(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.']",1
territory,"['(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.']",1
trade,"['(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.']",1
production,"['(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.']",1
force,['Real-Time Strategy (RTS): A game that focuses on construction and control of a fighting force in battle that takes place in real-time.'],1
starcraft,"['(ex: StarCraft , Pikmin )\n\nTower Defense : A game in which the player defends a building from monsters using other buildings, sometimes with a unit or two as back-up.']",1
pikmin,"['(ex: StarCraft , Pikmin )\n\nTower Defense : A game in which the player defends a building from monsters using other buildings, sometimes with a unit or two as back-up.']",1
tower,"['(ex: StarCraft , Pikmin )\n\nTower Defense : A game in which the player defends a building from monsters using other buildings, sometimes with a unit or two as back-up.']",1
defense,"['(ex: StarCraft , Pikmin )\n\nTower Defense : A game in which the player defends a building from monsters using other buildings, sometimes with a unit or two as back-up.']",1
building,"['(ex: StarCraft , Pikmin )\n\nTower Defense : A game in which the player defends a building from monsters using other buildings, sometimes with a unit or two as back-up.']",2
back,"['(ex: StarCraft , Pikmin )\n\nTower Defense : A game in which the player defends a building from monsters using other buildings, sometimes with a unit or two as back-up.']",1
up,"['(ex: StarCraft , Pikmin )\n\nTower Defense : A game in which the player defends a building from monsters using other buildings, sometimes with a unit or two as back-up.']",1
plant,"['(ex: Plants vs. Zombies )\n\nTurn-Based Strategy (TBS): A game that is about abstract mechanics of efficiently waging war, exploiting resources and controlling huge groups of combatants all at once.']",1
zombies,"['(ex: Plants vs. Zombies )\n\nTurn-Based Strategy (TBS): A game that is about abstract mechanics of efficiently waging war, exploiting resources and controlling huge groups of combatants all at once.']",1
tbs,"['(ex: Plants vs. Zombies )\n\nTurn-Based Strategy (TBS): A game that is about abstract mechanics of efficiently waging war, exploiting resources and controlling huge groups of combatants all at once.', '\n\nTurn-Based Strategy, Real Time Combat : A TBS game where the combat sections take place in Real Time , meaning no Turn-Based Combat .']",2
combatant,"['(ex: Plants vs. Zombies )\n\nTurn-Based Strategy (TBS): A game that is about abstract mechanics of efficiently waging war, exploiting resources and controlling huge groups of combatants all at once.']",1
tactics,['(ex: Total War )\n\nTurn-Based Tactics : A game in which the player must control individual soldiers or vehicles.'],1
soldier,"['(ex: Total War )\n\nTurn-Based Tactics : A game in which the player must control individual soldiers or vehicles.', '\n\nMilitary and Warfare Video Games : A game that revolves around soldiers or warriors fighting in a military conflict.']",2
valkyria,"['(ex: Valkyria Chronicles , X-COM )']",1
chronicles,"['(ex: Valkyria Chronicles , X-COM )']",1
x,"['(ex: Valkyria Chronicles , X-COM )']",1
com,"['(ex: Valkyria Chronicles , X-COM )']",1
toys,['Toys-To-Life Game :'],1
toy,['A game involving physical toys interacting with the game.'],1
skylanders,"['(ex: Skylanders , Disney Infinity )\n\nAnd lastly, Miscellaneous Games : A page that contains games that nobody could identify the genre of.']",1
disney,"['(ex: Skylanders , Disney Infinity )\n\nAnd lastly, Miscellaneous Games : A page that contains games that nobody could identify the genre of.']",1
infinity,"['(ex: Skylanders , Disney Infinity )\n\nAnd lastly, Miscellaneous Games : A page that contains games that nobody could identify the genre of.']",1
miscellaneous,"['(ex: Skylanders , Disney Infinity )\n\nAnd lastly, Miscellaneous Games : A page that contains games that nobody could identify the genre of.']",1
aesthetic,"[""\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Aesthetic game genresÂ\xa0\n\nNon-gameplay genres that can be found in other mediums, related to the game's story, setting, tone, etc.""]",1
tone,"[""\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Aesthetic game genresÂ\xa0\n\nNon-gameplay genres that can be found in other mediums, related to the game's story, setting, tone, etc.""]",1
art,['Art Game : A game that has Doing It for the Art as its motto.'],2
motto,['Art Game : A game that has Doing It for the Art as its motto.'],1
comedy,"['Comedy Video Games : A game with heavy focus on humor, that seldom ever takes itself seriously.']",1
humor,"['Comedy Video Games : A game with heavy focus on humor, that seldom ever takes itself seriously.']",1
parody,['\n\nParody Video Games : A game that spoofs other games.'],1
deconstruction,['\n\nDeconstruction Game :'],1
edutainment,['Edutainment Game : A game that educates players as well as entertains them.'],1
carmen,['(ex: Where in the World is Carmen Sandiego? )'],1
sandiego,['(ex: Where in the World is Carmen Sandiego? )'],1
magic,['\n\nFantasy Video Games : A game that features magic and mythology in a supernatural setting.'],1
mythology,['\n\nFantasy Video Games : A game that features magic and mythology in a supernatural setting.'],1
setting,"['\n\nFantasy Video Games : A game that features magic and mythology in a supernatural setting.', ""\n\nVirtual Reality : A game that makes use of a headset display to make the player feel as though they are physically present in the game's setting.""]",2
fear,"['\n\nHorror Video Games : A game that exploits the fears of players to cause anxiety, fear, and ultimately thrills.']",2
anxiety,"['\n\nHorror Video Games : A game that exploits the fears of players to cause anxiety, fear, and ultimately thrills.']",1
mecha,['Mecha Game : A game that focuses on Humongous Mecha for combat.'],2
humongous,['Mecha Game : A game that focuses on Humongous Mecha for combat.'],1
military,['\n\nMilitary and Warfare Video Games : A game that revolves around soldiers or warriors fighting in a military conflict.'],1
warfare,['\n\nMilitary and Warfare Video Games : A game that revolves around soldiers or warriors fighting in a military conflict.'],1
retraux,['Retraux Games : Games using intentionally outdated graphics for a nostalgic effect.'],1
graphic,['Retraux Games : Games using intentionally outdated graphics for a nostalgic effect.'],1
science,"['\n\nScience Fiction Video Games : A game that explores a concept that does not exist at the present time, but it someday might.']",1
modifiersâ,['\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Gameplay modifiersÂ'],1
twist,"['There are several modifiers that can be applied to the genre of a game, as a twist on the standard formula.']",1
formula,"['There are several modifiers that can be applied to the genre of a game, as a twist on the standard formula.']",1
asymmetric,['\n\nAsymmetric Multiplayer :'],1
